instance,n_traj,err,dim,noise,ks_true,coverage,kappa_km,kappa_km_sd,frac_km,frac_km_sd,entcak_km_t2,entcak_km_t2_sd,entcak_km_t4,entcak_km_t4_sd,entcak_km_t8,entcak_km_t8_sd
752,10,,5,0.2,-8.878799685305857,0.124,0.9913862182262216,0.0058984220909376,0.0,0.0,0.3270820192992687,0.2257889343667952,0.5202916152775288,0.3348234022677807,0.7819463983178139,0.451063243904213
814,10,,6,0.05,-47.9480359713048,0.118,0.9999697437562298,1.6937553262251423e-05,0.0,0.0,0.1389390700496733,0.0811152191019739,0.2217687256634235,0.1226018447118019,0.3354396931827068,0.1723736113359293
876,10,,6,0.2,-71.87814112792898,0.13,0.931043436687989,0.0389922805937713,0.01875,0.0207289049397212,0.066364083904773,0.103524435680316,0.104485853749793,0.1601797211899488,0.1550102520850487,0.2310336782093262
427,25,,3,0.01,-41.3525179488977,0.273,0.6214989330061312,0.148599306659446,0.028125,0.0487139289628746,1.5366249084472656,0.5918885978042308,1.9277981519699097,0.6496967920327719,2.3100132644176483,0.6491395773050072
489,25,,3,0.1,-5.530406551054341,0.283,0.5517627439538899,0.0870896653869276,0.04375,0.0471864652204421,0.6162993609905243,0.2944850021358438,0.8827488347887993,0.3628962556737035,1.2321663349866867,0.4361487812014022
551,25,,4,0.01,-12.598162870506057,0.281,0.7483905079626991,0.1325293423155864,0.0,0.0,1.3544227182865145,0.2446218808923584,1.7882841527462006,0.2448381328349851,2.2216641306877136,0.225844706287451
613,25,,4,0.1,-22.6348913684337,0.281,0.727731289937312,0.284204618474653,0.0,0.0,0.8189582377672195,0.2578216387790584,1.2190405577421188,0.3503436028809495,1.7161489725112915,0.4486927618749796
690,25,,5,0.05,19.46385767445848,0.272,0.9073509836036926,0.1204315812369147,0.0,0.0,0.6620987877249718,0.170013561030346,1.010781168937683,0.2528016802856607,1.4359927773475647,0.3412889868010607
752,25,,5,0.2,-8.878799685305857,0.285,0.732159595772318,0.1731199599639284,0.0,0.0,0.4314190596342087,0.1508293962460526,0.6926350146532059,0.2192686934544364,1.046777382493019,0.2836473830037524
814,25,,6,0.05,-47.9480359713048,0.296,0.94277184531992,0.0634668635410926,0.0,0.0,0.3654242306947708,0.0998937420315716,0.5808762162923813,0.1458839547594726,0.8680945038795471,0.1994918419464521
