seed,T,N,gamma,temperature,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
0,20,10,0.9,0.5,12.156077629867333,0.13882561959194023,0.20070057967514493,0.13634838463047128,
0,20,10,0.9,1.0,7.69050870807821,0.11337045844358797,0.17067206616801653,0.1360400764588085,
0,20,10,0.9,2.0,3.898922147136266,0.04537279560203254,0.07829971807492951,0.10773560522215886,
0,20,10,0.9,5.0,1.2663894118275438,-0.12733860475587055,-0.14746939136734782,-0.004967443556206651,
0,20,20,0.2,0.1,6.471944623073697,0.3027960570712851,0.38117127979281995,0.1135614303853623,
0,20,20,0.2,0.3,3.3249248260284903,0.2554981288294312,0.3409969392492348,0.1181217854938288,
0,20,20,0.2,0.5,2.793574901155261,0.18276402646010384,0.2605710494904765,0.10009995011068856,
0,20,20,0.2,1.0,2.6558490033044984,0.041166937159782285,0.08571145692786422,0.04213394878092382,
0,20,20,0.2,2.0,2.956757026477853,-0.20496130359278503,-0.2465360027264517,-0.03913469524988303,
0,20,20,0.2,5.0,4.036940281837789,-0.2322974674061511,-0.26441948215234246,-0.056663696564049494,
0,20,20,0.5,0.1,10.874152310732399,0.2541157735781773,0.3199184210995747,0.05848746893996617,
0,20,20,0.5,0.3,5.294930688055515,0.26548299409531906,0.3444604821151205,0.07277614564847461,
0,20,20,0.5,0.5,3.577669215669156,0.21857579770127492,0.2920461543710559,0.061363723496726606,
0,20,20,0.5,1.0,2.2393855794220867,0.10460464161404456,0.15607694551923637,0.02249638410347134,
0,20,20,0.5,2.0,1.7947804497207085,-0.07450779898056115,-0.03969564092391023,-0.036442941481483186,
0,20,20,0.5,5.0,2.22251200263345,-0.2532353657432249,-0.2994545009759207,-0.05587183869060188,
0,20,20,0.8,0.1,16.944590701668655,0.1852185493071389,0.21859086514771628,0.062220790819380145,
0,20,20,0.8,0.3,11.336032821008406,0.2494335688405316,0.3184526746131687,0.09379456039409786,
0,20,20,0.8,0.5,8.47710927187121,0.259717313954092,0.33165157841289455,0.10503721979022519,
0,20,20,0.8,1.0,5.005742476779918,0.2040523753382865,0.2735066663766666,0.08666736131948159,
0,20,20,0.8,2.0,2.4268075754433767,0.06868190928263289,0.12198148849537215,0.02482012496169831,
0,20,20,0.8,5.0,0.9918848483374061,-0.2164736403897827,-0.26223579855894963,-0.10669932107264124,
0,20,20,0.9,0.1,18.603313419976526,0.19238268136764042,0.22140006735001685,0.1091851311232182,
0,20,20,0.9,0.3,14.498681234892759,0.2398641841717677,0.3108278307069577,0.14307649250785634,
0,20,20,0.9,0.5,11.958572639824546,0.2549400119800238,0.3255039783759946,0.16001109314966122,
0,20,20,0.9,1.0,8.230592678903857,0.22443216723640166,0.2941321845330461,0.15000726303368528,
0,20,20,0.9,2.0,4.534277503462139,0.11043104398133653,0.16933798233449557,0.07806326094186511,
0,20,20,0.9,5.0,1.2165596979628681,-0.1559084374658898,-0.17601873357069042,-0.10598702254526653,
0,20,50,0.2,0.1,3.34268634338328,0.35191527891842656,0.4242309340577335,0.09503885604340917,
0,20,50,0.2,0.3,2.1826678733472074,0.33145086267729496,0.40319278979819745,0.13729583080765728,
0,20,50,0.2,0.5,2.090129996138042,0.2693651113611072,0.3308187700787496,0.13834282319073593,
0,20,50,0.2,1.0,2.274056965060643,0.09777500474105782,0.12341655544670127,0.06568512866236603,
0,20,50,0.2,2.0,2.7196712673258387,-0.2716083428010749,-0.31122089975547196,-0.06727495078295555,
0,20,50,0.2,5.0,3.8892775943309226,-0.28024630024425434,-0.3545468532855785,-0.06696143871604981,
0,20,50,0.5,0.1,7.548043306863325,0.30538763296030114,0.36701340775335195,0.002424657072727307,
0,20,50,0.5,0.3,3.8348124883360306,0.3434738023457248,0.41612802175014946,0.07408269539579974,
0,20,50,0.5,0.5,2.6835876539128805,0.3092532904694997,0.3795871608967902,0.09316511262810322,
0,20,50,0.5,1.0,1.7707295230237383,0.19458058235843076,0.24132701976275017,0.08058581850398816,
0,20,50,0.5,2.0,1.5278115612485665,-0.05273949393267391,-0.05527481661016027,-0.022395321789826207,
0,20,50,0.5,5.0,2.0530992564522417,-0.30437990011098404,-0.4016855657226556,-0.06378135544648857,
0,20,50,0.8,0.1,14.552412301802677,0.1856218874434483,0.224295548073887,-0.0044865583976490455,
0,20,50,0.8,0.3,9.74394550652057,0.29363104244979144,0.35262597265649315,0.06770932140688946,
0,20,50,0.8,0.5,7.391447364026893,0.3128374160619326,0.3784564906141227,0.10186765146540412,
0,20,50,0.8,1.0,4.466774743892045,0.2680185516709848,0.3310960262740065,0.10242132911630816,
0,20,50,0.8,2.0,2.1644818533037378,0.11714885809003273,0.14196617799154448,0.04399447636799743,
0,20,50,0.8,5.0,0.8490439820195934,-0.26906940452312467,-0.35618519754629935,-0.1265885311609972,
0,20,50,0.9,0.1,17.217824457803538,0.14280951981904833,0.17336707034176757,0.02740546598901981,
0,20,50,0.9,0.3,13.353201375279086,0.2583606773774891,0.3112293433073358,0.11064854818910687,
