anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
1947,1.0709237,1.0636937994384126,1.0,3,plane,1,0.0
1867,0.80794996,1.0403438466272488,1.0,3,plane,1,0.0
1277,0.062172174,0.5973875267769276,1.0,3,plane,1,0.0
1090,1.6465929,1.3747897303994914,1.0,3,plane,1,0.0
1714,0.1740331,0.9077093726310944,1.0,3,plane,1,0.0
1485,0.69403285,0.9554159559658235,1.0,3,plane,1,0.0
608,0.6248294,0.42040807697422033,1.0,3,plane,1,0.0
932,0.016272541,0.5595451967739118,1.0,3,plane,1,0.0
80,1.7629831,1.089526187505152,1.0,3,plane,2,0.0
1641,0.524485,0.9359751793890969,1.0,3,plane,2,0.0
1599,0.2556684,1.0147379665919722,1.0,3,plane,2,0.0
513,1.3752089,1.1334836094051197,0.9999999,3,plane,2,0.0
604,0.12568972,1.066275944538308,1.0,3,plane,2,0.0
1863,1.0785092,1.355169093524101,1.0,3,plane,2,0.0
297,0.103452764,0.716703571996987,1.0,3,plane,2,0.0
436,0.63959754,1.114111482713682,1.0,3,plane,2,0.0
757,0.9406268,0.8549337078120579,0.99999994,3,plane,2,0.0
811,0.026089985,0.7221364509056011,1.0,3,plane,2,0.0
1879,0.29562664,0.9510632418887832,1.0,3,plane,2,0.0
180,0.07011127,0.7085639036123187,1.0,3,plane,2,0.0
1434,0.07298778,1.0420926246127091,1.0,3,plane,2,0.0
1929,0.9463302,0.7345579427887192,1.0000001,3,plane,2,0.0
1112,0.7204779,1.253666921667639,1.0,3,plane,2,0.0
1362,0.009128175,0.5911105664055165,1.0,3,plane,2,0.0
109,0.05516178,0.655458670014712,1.0,3,plane,2,0.0
658,0.059337195,0.9797069545231119,1.0,3,plane,2,0.0
585,0.02540921,0.6926554066493568,1.0,3,plane,2,0.0
1298,0.014904505,0.5081095490740997,1.0,3,plane,2,0.0
780,0.8870152,1.265877796286574,0.99999994,3,plane,2,0.0
1602,1.1714958,1.3819876220686098,1.0000001,3,plane,2,0.0
214,0.10692437,0.944517255691553,1.0,3,plane,2,0.0
1101,0.35243696,0.9925237689659313,0.99999994,3,plane,2,0.0
543,1.827993,1.5135303631392507,1.0,3,plane,2,0.0
1736,0.0003091975,0.052929872367049144,1.0,3,plane,2,0.0
1958,0.7660986,1.3191161347825082,1.0,3,plane,2,0.0
885,0.060179647,0.7828944285764482,1.0,3,plane,2,0.0
1346,0.080011666,0.7706213260118513,1.0,3,plane,2,0.0
1327,0.07442605,0.9454101707749192,1.0,3,plane,2,0.0
1179,1.6779593,1.1914569969141924,1.0,3,plane,2,0.0
1730,0.048416477,0.5326984455681599,1.0,3,plane,2,0.0
857,0.5299179,1.175436766374935,1.0000001,3,plane,2,0.0
839,0.5041022,1.055120374857093,1.0,3,plane,2,0.0
1258,1.0757768,1.3413657586598569,0.99999994,3,plane,2,0.0
1486,0.2194597,0.8919757226763794,1.0,3,plane,2,0.0
398,1.2304834,0.7156920813515151,1.0,3,plane,2,0.0
515,0.8689872,0.7404628052163237,1.0,3,plane,2,0.0
374,0.7072453,0.2364691365777142,1.0000001,3,plane,2,0.0
370,1.1577255,1.3272259644833726,1.0,3,plane,2,0.0
1757,0.041138276,0.7826054542169258,0.99999994,3,plane,3,0.0
1449,0.06132061,0.8237529127745193,1.0,3,plane,3,0.0
77,1.8489515,1.5236544948388997,1.0,3,plane,3,0.0
942,0.05059358,0.8682609131952629,0.99999994,3,plane,3,0.0
464,1.9248409,1.2834699578028026,0.9999999,3,plane,3,0.0
893,0.019747825,0.5650860096507315,1.0,3,plane,3,0.0
831,0.4207556,1.038405737769372,0.9999998,3,plane,3,0.0
342,1.6295748,1.140613632701737,1.0000001,3,plane,3,0.0
772,1.1805868,0.9767119672618687,1.0,3,plane,3,0.0
1503,0.016637104,0.7533239407449824,1.0,3,plane,3,0.0
583,1.5126214,1.0567839088849253,1.0000001,3,plane,3,0.0
1022,0.11588982,0.9121561807310073,1.0,3,plane,3,0.0
1320,0.004038306,0.2906784593896816,1.0,3,plane,3,0.0
64,0.7894716,1.157252606400132,0.99999994,3,plane,3,0.0
314,0.4127577,1.0861579899135385,1.0,3,plane,3,0.0
184,0.0074196137,0.31918945875914967,1.0,3,plane,3,0.0
1905,0.29742095,1.051298335178024,1.0,3,plane,3,0.0
853,0.24535379,0.8834674573507273,0.99999994,3,plane,3,0.0
1142,1.1211956,0.8237505269318279,0.99999994,3,plane,3,0.0
1564,0.7155276,1.1567005108138448,1.0,3,plane,3,0.0
521,0.6780547,1.130276206096906,1.0,3,plane,3,0.0
1572,0.37827802,1.041232807897108,1.0,3,plane,3,0.0
1735,0.4731172,1.0811090533501135,0.99999994,3,plane,3,0.0
851,0.61320287,1.1262070580457666,1.0,3,plane,3,0.0
1465,0.33285648,1.0040935699153923,1.0,3,plane,3,0.0
1290,0.16022313,0.9521759559574532,0.99999994,3,plane,3,0.0
1222,1.8295028,1.4827714386611541,0.99999994,3,plane,3,0.0
1706,0.7413117,1.1829514363183264,1.0000001,3,plane,3,0.0
1362,1.0856364,1.2078653693094004,1.0,3,plane,3,0.0
223,0.10375607,0.8301413557086171,1.0000001,3,plane,3,0.0
1163,0.4172217,1.1303926463495304,1.0,3,plane,3,0.0
167,0.0037487454,0.36828348157937907,1.0,3,plane,3,0.0
636,0.65148664,1.1992466110920788,0.99999994,3,plane,3,0.0
355,0.16078855,1.0633915203389572,1.0000001,3,plane,3,0.0
652,1.4274375,1.1830370316317071,1.0,3,plane,3,0.0
565,0.03602591,0.7182121719547334,1.0,3,plane,3,0.0
1294,0.058048666,0.7700863138571867,1.0,3,plane,3,0.0
351,0.9930854,0.8797419430735801,1.0,3,plane,3,0.0
1588,1.6464648,1.404179262172498,1.0,3,plane,3,0.0
1386,1.0155233,1.2447721036913517,0.99999994,3,plane,3,0.0
904,0.20224501,0.658356127562395,1.0000001,3,sphere,1,6.0
541,0.345417,0.7415803964120273,1.0,3,sphere,1,6.0
767,0.8223775,0.6867004356699522,1.0,3,sphere,1,6.0
901,0.15037014,0.7685423665644067,1.0,3,sphere,1,6.0
247,0.8503601,0.9109839982833929,0.99999994,3,sphere,1,6.0
836,0.32966256,0.978555693397571,1.0,3,sphere,1,6.0
527,0.86874807,1.1242775124872593,1.0,3,sphere,1,6.0
1661,1.1564977,1.0441527998009275,1.0,3,sphere,1,6.0
54,0.4375467,0.7713214680321564,1.0,3,sphere,1,6.0
245,0.71174526,1.0479059850272674,1.0,3,sphere,1,6.0
1633,0.7086395,0.9502273326394477,1.0,3,sphere,1,6.0
68,0.12313946,0.42676851231631807,1.0,3,sphere,1,6.0
1804,0.76042753,0.8889977686535436,1.0,3,sphere,1,6.0
