dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness_adaptive_t5,500,500,17,2-Sphere-8,-4.06695396900177,0.14728901570291947,2.0,1.0
sadspheres,successor_entropy,500,500,17,2-Sphere-8,-5.526745493888855,0.16446493845790705,2.0,1.0
sadspheres,successor_orc,500,500,17,2-Sphere-8,-6.301542022803528,23.791994576880153,2.0,1.0
sadspheres,laziness_knn_t3,500,500,18,2-Saddle-9,-3.590264943599701,0.19048657165172747,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,18,2-Saddle-9,-4.013964455604553,0.22262136195580048,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,18,2-Saddle-9,-4.567250390052795,0.2610524557941508,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,18,2-Saddle-9,-3.9703317375183107,0.21955674588249818,-8.0,0.0
sadspheres,successor_entropy,500,500,18,2-Saddle-9,-5.392131238937378,0.11367549379814382,-8.0,0.0
sadspheres,successor_orc,500,500,18,2-Saddle-9,-9.060551195628465,91.7083396327604,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,19,2-Sphere-9,-3.6350328125953673,0.1305619201972823,2.0,1.0
sadspheres,laziness_knn_t5,500,500,19,2-Sphere-9,-4.086479773044586,0.13441907979801024,2.0,1.0
sadspheres,laziness_knn_t10,500,500,19,2-Sphere-9,-4.68849723148346,0.11994094484690156,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,19,2-Sphere-9,-4.057985549926758,0.13381414645452247,2.0,1.0
sadspheres,successor_entropy,500,500,19,2-Sphere-9,-5.719748860359192,0.149411711672184,2.0,1.0
sadspheres,successor_orc,500,500,19,2-Sphere-9,-2.8208983284684956,11.660830696112198,2.0,1.0
sadspheres,laziness_knn_t3,2000,100,0,2-Saddle-0,-3.616520378042902,0.17466928382264915,-8.0,0.0
