instance,n_traj,method,ks_hat,ks_hat_std,n_seeds_ok,coverage,eval_dist,elapsed_s,err,name,dim,codim,noise,m,ks_true
823,500,kmetric_dorc,0.2847474767406981,0.0200639614433204,4,0.996,0.0,313.3,,d6-c1-n0.05-m13,6,1,0.05,13,-71.9194356359564
823,500,fbkernel_orc,0.35168076019262,0.0181299306248073,4,0.996,0.0,313.3,,d6-c1-n0.05-m13,6,1,0.05,13,-71.9194356359564
820,500,traj_dorc,0.1319527344200889,0.0,1,0.999,0.0,2.8,,d6-c1-n0.05-m10,6,1,0.05,10,-44.84909729317228
820,500,kmetric_dorc,0.2895543640656156,0.0304364340081044,4,0.999,0.0,317.8,,d6-c1-n0.05-m10,6,1,0.05,10,-44.84909729317228
820,500,fbkernel_orc,0.2612259968748525,0.0335092072330535,4,0.999,0.0,317.8,,d6-c1-n0.05-m10,6,1,0.05,10,-44.84909729317228
817,500,traj_dorc,0.1593034271156777,0.0,1,0.998,0.0,2.7,,d6-c1-n0.05-m7,6,1,0.05,7,-12.910662028844692
817,500,kmetric_dorc,0.2598902526874036,0.031207242014806,4,0.998,0.0,318.9,,d6-c1-n0.05-m7,6,1,0.05,7,-12.910662028844692
817,500,fbkernel_orc,0.3490725590677431,0.0172874742531513,4,0.998,0.0,318.9,,d6-c1-n0.05-m7,6,1,0.05,7,-12.910662028844692
814,500,traj_dorc,0.2016858256137028,0.0,1,0.998,0.0,2.8,,d6-c1-n0.05-m4,6,1,0.05,4,-47.9480359713048
814,500,kmetric_dorc,0.3414364918318868,0.0368093146331892,4,0.998,0.0,317.5,,d6-c1-n0.05-m4,6,1,0.05,4,-47.9480359713048
814,500,fbkernel_orc,0.3495106172497299,0.0255635956000183,4,0.998,0.0,317.5,,d6-c1-n0.05-m4,6,1,0.05,4,-47.9480359713048
811,500,traj_dorc,0.2293759983789168,0.0,1,0.996,0.0,2.7,,d6-c1-n0.05-m1,6,1,0.05,1,-48.29800862013458
811,500,kmetric_dorc,0.288903022641538,0.0377255972350305,4,0.996,0.0,315.2,,d6-c1-n0.05-m1,6,1,0.05,1,-48.29800862013458
811,500,fbkernel_orc,0.3262399196156024,0.0136578035711575,4,0.996,0.0,315.2,,d6-c1-n0.05-m1,6,1,0.05,1,-48.29800862013458
793,500,traj_dorc,0.2258238206740048,0.0,1,0.999,0.0,2.7,,d6-c1-n0.01-m13,6,1,0.01,13,-76.44652684559905
793,500,kmetric_dorc,0.3559933057416511,0.0600401128987924,4,0.999,0.0,315.2,,d6-c1-n0.01-m13,6,1,0.01,13,-76.44652684559905
793,500,fbkernel_orc,0.3174152934160486,0.0163219773270041,4,0.999,0.0,315.2,,d6-c1-n0.01-m13,6,1,0.01,13,-76.44652684559905
790,500,traj_dorc,0.2635154738061084,0.0,1,0.995,0.0,2.7,,d6-c1-n0.01-m10,6,1,0.01,10,-54.921670100446896
790,500,kmetric_dorc,0.2982284734035065,0.053146830954625,4,0.995,0.0,314.2,,d6-c1-n0.01-m10,6,1,0.01,10,-54.921670100446896
790,500,fbkernel_orc,0.3010737067698945,0.0383943419753936,4,0.995,0.0,314.2,,d6-c1-n0.01-m10,6,1,0.01,10,-54.921670100446896
787,500,traj_dorc,0.1537404961447667,0.0,1,0.998,0.0,2.8,,d6-c1-n0.01-m7,6,1,0.01,7,-45.17999519324027
787,500,kmetric_dorc,0.3323750048250664,0.0367560505411144,4,0.998,0.0,318.4,,d6-c1-n0.01-m7,6,1,0.01,7,-45.17999519324027
787,500,fbkernel_orc,0.3412360183494427,0.0224243459072698,4,0.998,0.0,318.4,,d6-c1-n0.01-m7,6,1,0.01,7,-45.17999519324027
784,500,traj_dorc,0.1796580868520192,0.0,1,0.998,0.0,2.8,,d6-c1-n0.01-m4,6,1,0.01,4,-71.27016179316198
784,500,kmetric_dorc,0.3403006598187492,0.0434147067864204,4,0.998,0.0,318.8,,d6-c1-n0.01-m4,6,1,0.01,4,-71.27016179316198
784,500,fbkernel_orc,0.3723895093909155,0.0250794941338025,4,0.998,0.0,318.8,,d6-c1-n0.01-m4,6,1,0.01,4,-71.27016179316198
781,500,traj_dorc,0.1322361770425892,0.0,1,0.997,0.0,3.0,,d6-c1-n0.01-m1,6,1,0.01,1,2.310630032127137
781,500,kmetric_dorc,0.332873153158396,0.0220876454925077,4,0.997,0.0,330.1,,d6-c1-n0.01-m1,6,1,0.01,1,2.310630032127137
781,500,fbkernel_orc,0.3457637803374055,0.0542205316558564,4,0.997,0.0,330.1,,d6-c1-n0.01-m1,6,1,0.01,1,2.310630032127137
763,500,traj_dorc,0.2855802902031515,0.0,1,0.996,0.0,2.6,,d5-c1-n0.2-m13,5,1,0.2,13,-28.47551290508757
763,500,kmetric_dorc,0.266571037795976,0.0365903129108984,4,0.996,0.0,336.1,,d5-c1-n0.2-m13,5,1,0.2,13,-28.47551290508757
763,500,fbkernel_orc,0.2539931518429367,0.0570290751567922,4,0.996,0.0,336.1,,d5-c1-n0.2-m13,5,1,0.2,13,-28.47551290508757
760,500,traj_dorc,0.0563594351092427,0.0,1,0.997,0.0,2.9,,d5-c1-n0.2-m10,5,1,0.2,10,-38.9177710392795
760,500,kmetric_dorc,0.2549666433611354,0.0078331728370319,4,0.997,0.0,341.5,,d5-c1-n0.2-m10,5,1,0.2,10,-38.9177710392795
760,500,fbkernel_orc,0.2761145752622177,0.0329206440610184,4,0.997,0.0,341.5,,d5-c1-n0.2-m10,5,1,0.2,10,-38.9177710392795
757,500,traj_dorc,0.1024250685351834,0.0,1,0.996,0.0,2.6,,d5-c1-n0.2-m7,5,1,0.2,7,-29.417968211109795
757,500,kmetric_dorc,0.246636326388469,0.0343590084454925,4,0.996,0.0,342.4,,d5-c1-n0.2-m7,5,1,0.2,7,-29.417968211109795
757,500,fbkernel_orc,0.2496213697400128,0.0191793511341695,4,0.996,0.0,342.4,,d5-c1-n0.2-m7,5,1,0.2,7,-29.417968211109795
754,500,traj_dorc,0.244351836494862,0.0,1,0.996,0.0,2.5,,d5-c1-n0.2-m4,5,1,0.2,4,-4.946768816439207
