instance,n_traj,dim,noise,ks_true,err,coverage,topo
516,25,3,0.2,-35.603562663735204,,0.2833333333333333,0.0684180058768327
578,25,4,0.05,-22.05882557409797,,0.273,0.0344896195527088
640,25,4,0.2,32.54341939091398,,0.293,0.0641535317381094
702,25,5,0.05,-8.094765280509788,,0.2873333333333333,0.0321475583866428
764,25,5,0.2,19.863413883002544,,0.2833333333333333,-0.0356675634208224
841,25,6,0.1,-28.27057085781108,,0.306,0.1039508900036338
454,100,3,0.05,-4.99685320061184,,0.7116666666666667,-0.0219708403842534
516,100,3,0.2,-35.603562663735204,,0.7223333333333334,0.0073861303756862
578,100,4,0.05,-22.05882557409797,,0.709,0.0284142392513855
640,100,4,0.2,32.54341939091398,,0.7216666666666667,0.0661827720057847
702,100,5,0.05,-8.094765280509788,,0.725,0.0528312474112578
764,100,5,0.2,19.863413883002544,,0.723,0.0411506897404721
841,100,6,0.1,-28.27057085781108,,0.734,-0.0159422181389735
422,25,3,0.01,-10.734204673555151,,0.2566666666666666,-0.0788348278621845
484,25,3,0.1,-9.95300009216142,,0.2576666666666666,-0.0980240440662562
546,25,4,0.01,-35.825477386408664,,0.2913333333333333,0.0014568984475791
608,25,4,0.1,5.924945353387931,,0.2913333333333333,0.1073803153534379
670,25,5,0.01,-44.4013504262728,,0.2926666666666667,0.0357334998512029
732,25,5,0.1,-36.76476047112881,,0.2773333333333333,0.0303472073413217
794,25,6,0.01,-38.89536340245233,,0.2783333333333333,0.0469648521285664
871,25,6,0.2,0.935435246704639,,0.2836666666666667,0.0304227616359389
455,25,3,0.05,0.1038120113334293,,0.2546666666666666,0.0264761254164609
517,25,3,0.2,-2.043394187053898,,0.2686666666666666,-0.02434614622487
579,25,4,0.05,-12.708320135998806,,0.2933333333333333,0.0570783846519388
641,25,4,0.2,-16.067167115072312,,0.2883333333333333,0.0336932729904006
703,25,5,0.05,6.3932786146544505,,0.29,0.1086583570484111
780,25,6,0.01,-45.54654777327077,,0.2876666666666667,0.0746115451362714
842,25,6,0.1,-70.57962561965199,,0.295,0.0633162204229922
455,100,3,0.05,0.1038120113334293,,0.6743333333333333,0.0597877255790136
517,100,3,0.2,-2.043394187053898,,0.714,-0.0017724995322666
579,100,4,0.05,-12.708320135998806,,0.72,0.0336935748375411
641,100,4,0.2,-16.067167115072312,,0.721,0.0136247016408372
703,100,5,0.05,6.3932786146544505,,0.7336666666666667,0.033497343225487
780,100,6,0.01,-45.54654777327077,,0.7066666666666667,0.0130682076565596
842,100,6,0.1,-70.57962561965199,,0.7406666666666667,0.1104159760991446
456,25,3,0.05,-10.086395056679647,,0.272,-0.0315893171585068
518,25,3,0.2,6.008144855297212,,0.278,0.0924098931437849
580,25,4,0.05,1.430710029764047,,0.2796666666666667,0.0617379107768221
642,25,4,0.2,-15.484538294325528,,0.2736666666666666,0.057161911753279
704,25,5,0.05,-31.099208931298197,,0.3013333333333333,0.0895083874137542
781,25,6,0.01,2.310630032127137,,0.3,0.0765172435164778
843,25,6,0.1,-67.23454284811166,,0.2903333333333333,0.0704667768052107
456,100,3,0.05,-10.086395056679647,,0.6916666666666667,0.0309482265024871
518,100,3,0.2,6.008144855297212,,0.721,-0.004948486877543
580,100,4,0.05,1.430710029764047,,0.7313333333333333,0.009434384413281
642,100,4,0.2,-15.484538294325528,,0.7156666666666667,0.0335560634524714
704,100,5,0.05,-31.099208931298197,,0.7226666666666667,0.072463496523788
781,100,6,0.01,2.310630032127137,,0.7286666666666667,0.0574473853157792
843,100,6,0.1,-67.23454284811166,,0.732,0.0565953686280448
457,25,3,0.05,-16.176625387033255,,0.243,-0.0341471179460881
519,25,3,0.2,2.771940661275317,,0.2813333333333333,-0.0379976506183463
581,25,4,0.05,-27.984450651921836,,0.2706666666666666,0.1634703104954587
643,25,4,0.2,6.224275918490596,,0.2816666666666667,0.0388703481683345
720,25,5,0.1,9.58742063848517,,0.2883333333333333,0.0931614150002513
782,25,6,0.01,-86.42381835431243,,0.2923333333333333,0.04852067460667
844,25,6,0.1,-51.41557026855955,,0.299,0.0366951588348824
457,100,3,0.05,-16.176625387033255,,0.7036666666666667,0.020971352248053
519,100,3,0.2,2.771940661275317,,0.7123333333333334,-0.0224497833419314
581,100,4,0.05,-27.984450651921836,,0.6953333333333334,0.0122184691818487
