instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32
699,cak_40,0.504564696003906,,5,0.05,-33.03765356029634,0.0066271699033677,0.2133193463087082,0.310282438993454,0.4311818778514862,0.5977693200111389,0.8494884371757507,1.2272568941116333
699,cak_80,0.6010843241849986,,5,0.05,-33.03765356029634,0.0306943785399198,0.4356449246406555,0.6688157916069031,1.0184153318405151,1.5493876934051514,2.3119912147521973,3.321862936019897
699,cak_160,0.7212500730706115,,5,0.05,-33.03765356029634,0.1095992177724838,1.0328477621078491,1.6499683856964111,2.54945707321167,3.725119352340698,5.001706600189209,6.052535533905029
823,adaptive_k10,,,6,0.05,-71.9194356359564,1.5465896129608154,7.073111057281494,7.498763561248779,7.777906894683838,7.94063138961792,7.982953071594238,7.962047576904297
823,adaptive_k25,,,6,0.05,-71.9194356359564,1.6587672233581543,7.284811496734619,7.651950359344482,7.8804612159729,7.978063106536865,7.979383945465088,7.963583469390869
823,adaptive_k50,,,6,0.05,-71.9194356359564,1.775722861289978,7.430427551269531,7.756829738616943,7.936734199523926,7.987435817718506,7.9781084060668945,7.9689202308654785
823,cak_40,0.4487672331425356,,6,0.05,-71.9194356359564,0.0276526100933551,0.3283805549144745,0.4708871841430664,0.6490403413772583,0.9019039273262024,1.2699828147888184,1.7714500427246094
823,cak_80,0.5213459943370936,,6,0.05,-71.9194356359564,0.0856854170560836,0.6398115158081055,0.96014404296875,1.4060264825820925,2.0168559551239014,2.798082113265991,3.7330996990203857
823,cak_160,0.6074279894649308,,6,0.05,-71.9194356359564,0.1758929193019867,1.2778455018997192,1.92830491065979,2.775156021118164,3.7901673316955566,4.87253475189209,5.834700107574463
313,adaptive_k10,,,2,0.01,-2.9443229796812918,0.1375622153282165,4.127132415771484,4.821654319763184,5.497006893157959,6.17063045501709,6.840798854827881,7.419325351715088
