anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
436,0.6482337,1.114111482713682,1.0,3,plane,2,0.0
758,0.30115265,1.052778574748804,1.0,3,plane,2,0.0
811,0.012497343,0.7221364509056011,1.0,3,plane,2,0.0
1879,0.24793327,0.9510632418887832,0.99999994,3,plane,2,0.0
181,0.8085656,1.1721707794028102,1.0,3,plane,2,0.0
1434,0.069444805,1.0420926246127091,1.0,3,plane,2,0.0
1929,0.25492942,0.7744552524195688,1.0,3,plane,2,0.0
1112,0.7299344,1.253666921667639,1.0,3,plane,2,0.0
1361,0.08959327,0.829788189624551,1.0,3,plane,2,0.0
109,0.058696035,0.655458670014712,1.0,3,plane,2,0.0
658,0.05533235,0.9797069545231119,1.0,3,plane,2,0.0
585,0.027139194,0.6926554066493568,1.0,3,plane,2,0.0
1299,0.3813843,1.096838940062593,1.0,3,plane,2,0.0
781,0.9894896,1.229106982037926,1.0000001,3,plane,2,0.0
1602,1.1596224,1.3819876220686098,1.0,3,plane,2,0.0
214,0.11348398,0.944517255691553,1.0,3,plane,2,0.0
1102,0.006340221,0.3164486317095537,1.0,3,plane,2,0.0
543,1.4473002,1.5750892916986743,0.99999994,3,plane,2,0.0
1737,0.5604789,1.2103296342014316,1.0,3,plane,2,0.0
1958,0.7342218,1.3191161347825082,0.99999994,3,plane,2,0.0
886,0.065451644,0.6729537543355302,1.0,3,plane,2,0.0
1347,0.010826118,0.4946925708590578,1.0000001,3,plane,2,0.0
1328,0.017467212,0.6873489098728255,1.0,3,plane,2,0.0
1180,0.015705476,0.596186777344829,1.0,3,plane,2,0.0
1730,0.016810115,0.5326984455681599,1.0,3,plane,2,0.0
857,0.49308953,1.175436766374935,1.0,3,plane,2,0.0
839,0.5103471,1.055120374857093,1.0,3,plane,2,0.0
1259,0.5319987,1.0824605492349157,0.99999994,3,plane,2,0.0
1486,0.1801627,0.8919757226763794,1.0,3,plane,2,0.0
397,0.048759773,0.7313468732616814,1.0000001,3,plane,2,0.0
515,0.26051512,0.8020217337757471,1.0,3,plane,2,0.0
374,0.02890789,0.2364691365777142,1.0,3,plane,2,0.0
370,0.9227112,1.3272259644833726,1.0,3,plane,2,0.0
1759,0.6680113,1.0629496361017443,1.0,3,plane,3,0.0
1451,0.015989328,0.5068249464448622,1.0,3,plane,3,0.0
77,1.438807,1.5334923729170602,0.99999994,3,plane,3,0.0
944,0.3075491,0.9735247299382477,1.0000001,3,plane,3,0.0
465,0.009874676,0.5743539760181564,1.0,3,plane,3,0.0
895,0.66174126,1.1364025755728184,1.0,3,plane,3,0.0
833,0.13430597,0.8933121909720984,0.99999994,3,plane,3,0.0
343,0.055169284,0.7174188642127197,1.0000001,3,plane,3,0.0
774,0.0058289925,0.3890785544438362,1.0,3,plane,3,0.0
1505,0.48303342,1.0811282244771605,0.99999994,3,plane,3,0.0
585,1.1641544,1.4383244551214163,0.99999994,3,plane,3,0.0
1024,0.75853044,1.237675667622814,1.0,3,plane,3,0.0
1321,0.08724248,0.8258348208028358,1.0,3,plane,3,0.0
64,0.7946774,1.157252606400132,0.99999994,3,plane,3,0.0
315,0.15022177,0.9836323228301124,1.0,3,plane,3,0.0
184,0.008559536,0.31918945875914967,1.0,3,plane,3,0.0
1905,0.304926,1.051298335178024,1.0,3,plane,3,0.0
854,0.21941951,0.9761335713576946,1.0,3,plane,3,0.0
1144,0.87415683,1.339953799100626,1.0,3,plane,3,0.0
1566,1.3514535,1.6336415746374664,1.0,3,plane,3,0.0
522,0.0021314626,0.08329500712518667,1.0,3,plane,3,0.0
1574,0.074563175,0.7517745976944102,1.0000001,3,plane,3,0.0
1736,0.098186746,0.8986709463377621,1.0,3,plane,3,0.0
853,0.23879084,0.8834674573507273,1.0000001,3,plane,3,0.0
1467,0.2346306,0.9003263858767467,1.0000001,3,plane,3,0.0
1292,0.074041806,0.7519813991146502,1.0,3,plane,3,0.0
1223,0.14213856,0.9458131814089183,1.0000001,3,plane,3,0.0
1708,0.007378602,0.4672415098501283,1.0,3,plane,3,0.0
1364,1.1046764,1.3480250852669078,1.0,3,plane,3,0.0
224,0.032646023,0.6433111055649606,1.0,3,plane,3,0.0
1164,0.087255284,0.7854822359910809,1.0,3,plane,3,0.0
167,0.0044276984,0.36828348157937907,1.0,3,plane,3,0.0
637,0.051959135,0.7107189395124172,1.0,3,plane,3,0.0
355,0.15111935,1.0633915203389572,1.0,3,plane,3,0.0
654,0.36301672,1.090542760033516,0.99999994,3,plane,3,0.0
566,0.6517308,1.1235504565034735,1.0,3,plane,3,0.0
1296,0.5350931,1.122746203740078,1.0,3,plane,3,0.0
