n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
200,10,0.5,-6.250189327444384,-1.4095182596702143,1941,
200,11,0.2,-6.1218154370846785,7.377026983785799,1922,
200,11,0.3,-6.285294526325428,7.377026983785799,1922,
200,11,0.5,-6.507346972466507,7.377026983785799,1922,
200,12,0.2,-6.454663557501342,-1.2518239035298682,1917,
200,12,0.3,-6.615228628328708,-1.2518239035298682,1917,
200,12,0.5,-6.807067129595801,-1.2518239035298682,1917,
200,13,0.2,-6.348312957914252,19.279142032357573,1900,
200,13,0.3,-6.522738353829634,19.279142032357573,1900,
200,13,0.5,-6.749105437178361,19.279142032357573,1900,
200,14,0.2,-6.386276375614766,4.0408735225921735,1922,
200,14,0.3,-6.54961737410459,4.0408735225921735,1922,
200,14,0.5,-6.753209390451707,4.0408735225921735,1922,
200,15,0.2,-6.171876013650715,-3.9127478258815174,1924,
200,15,0.3,-6.3448480922813975,-3.9127478258815174,1924,
200,15,0.5,-6.563108257097415,-3.9127478258815174,1924,
200,16,0.2,-6.451322602525947,-4.499597219025709,1908,
200,16,0.3,-6.596549417737645,-4.499597219025709,1908,
200,16,0.5,-6.781167443443394,-4.499597219025709,1908,
200,17,0.2,-6.331551641783314,7.1679435744042586,1871,
200,17,0.3,-6.496184686490523,7.1679435744042586,1871,
200,17,0.5,-6.71543739467684,7.1679435744042586,1871,
200,18,0.2,-6.4798155089488745,5.673359530031444,1918,
200,18,0.3,-6.631713381400322,5.673359530031444,1918,
200,18,0.5,-6.815939138778432,5.673359530031444,1918,
200,19,0.2,-6.492519601269772,5.550922179468609,1900,
200,19,0.3,-6.6388437793129365,5.550922179468609,1900,
200,19,0.5,-6.821894590227227,5.550922179468609,1900,
500,0,0.2,-6.4681028470993045,-17.664154673944296,2000,
500,0,0.3,-6.623414988279342,-17.664154673944296,2000,
500,0,0.5,-6.810999514102936,-17.664154673944296,2000,
500,1,0.2,-6.363604548454284,-9.752893017945407,2000,
500,1,0.3,-6.5112786622047425,-9.752893017945407,2000,
500,1,0.5,-6.708068986415863,-9.752893017945407,2000,
500,2,0.2,-6.120430827617645,6.782030357207869,2000,
500,2,0.3,-6.300828249812126,6.782030357207869,2000,
500,2,0.5,-6.539639729261398,6.782030357207869,2000,
500,3,0.2,-5.94273273464201,2.9099346852854566,1999,
500,3,0.3,-6.1375775840534095,2.9099346852854566,1999,
500,3,0.5,-6.4012300043836,2.9099346852854566,1999,
500,4,0.2,-6.359945372819901,-1.1117414400607863,2000,
500,4,0.3,-6.526754301548004,-1.1117414400607863,2000,
500,4,0.5,-6.738254613161087,-1.1117414400607863,2000,
500,5,0.2,-6.336721534252167,-1.0741749613034777,2000,
500,5,0.3,-6.513122148275375,-1.0741749613034777,2000,
500,5,0.5,-6.740480250835419,-1.0741749613034777,2000,
500,6,0.2,-5.814089984941602,-3.348655608211125,1995,
500,6,0.3,-6.013151577540806,-3.348655608211125,1995,
500,6,0.5,-6.277183634296694,-3.348655608211125,1995,
500,7,0.2,-6.515691149950028,-4.771754926468648,2000,
500,7,0.3,-6.651827057600022,-4.771754926468648,2000,
500,7,0.5,-6.821656191110611,-4.771754926468648,2000,
500,8,0.2,-6.027366276502609,4.234469729385937,2000,
500,8,0.3,-6.219106047153473,4.234469729385937,2000,
500,8,0.5,-6.486027913331985,4.234469729385937,2000,
500,9,0.2,-6.337491957410208,16.253215928506282,1999,
500,9,0.3,-6.495266774823035,16.253215928506282,1999,
500,9,0.5,-6.702858006972083,16.253215928506282,1999,
500,10,0.2,-6.371395754098892,-1.4095182596702143,2000,
500,10,0.3,-6.531438094854355,-1.4095182596702143,2000,
500,10,0.5,-6.735755089044571,-1.4095182596702143,2000,
500,11,0.2,-6.403663057327271,7.377026983785799,2000,
500,11,0.3,-6.561244405031204,7.377026983785799,2000,
500,11,0.5,-6.761275905370712,7.377026983785799,2000,
500,12,0.2,-6.0314443484544755,-1.2518239035298682,2000,
500,12,0.3,-6.230097693443298,-1.2518239035298682,2000,
500,12,0.5,-6.4992187919616695,-1.2518239035298682,2000,
500,13,0.2,-6.505975170373917,19.279142032357573,2000,
500,13,0.3,-6.646422936677933,19.279142032357573,2000,
500,13,0.5,-6.821373404741287,19.279142032357573,2000,
500,14,0.2,-6.414871969599912,4.0408735225921735,1999,
500,14,0.3,-6.575940437946635,4.0408735225921735,1999,
500,14,0.5,-6.779017818874571,4.0408735225921735,1999,
500,15,0.2,-6.474494826024386,-3.9127478258815174,1999,
500,15,0.3,-6.632466605331016,-3.9127478258815174,1999,
500,15,0.5,-6.821647728962443,-3.9127478258815174,1999,
500,16,0.2,-6.466833083391189,-4.499597219025709,2000,
