instance,point,kind,dim,noise,seed,ks_true,sent
119,951,torus,3,0.15,0,0.0,7.196347476795682
120,1421,torus,3,0.0,1,0.0,7.191997143063413
120,706,torus,3,0.0,1,0.0,7.194867917634973
120,52,torus,3,0.0,1,0.0,7.189445755537991
120,1422,torus,3,0.0,1,0.0,7.183620679762768
120,1233,torus,3,0.0,1,0.0,7.174589496903821
120,215,torus,3,0.0,1,0.0,7.192245466015829
120,1128,torus,3,0.0,1,0.0,7.186359690043589
120,764,torus,3,0.0,1,0.0,7.18956773348188
121,1421,torus,3,0.05,1,0.0,7.194587292627261
121,706,torus,3,0.05,1,0.0,7.195231747421876
121,52,torus,3,0.05,1,0.0,7.189688086876245
121,1422,torus,3,0.05,1,0.0,7.183721113986486
121,1233,torus,3,0.05,1,0.0,7.174431964601473
121,215,torus,3,0.05,1,0.0,7.193741794161188
121,1128,torus,3,0.05,1,0.0,7.187205900409451
121,764,torus,3,0.05,1,0.0,7.189451528004694
122,1421,torus,3,0.15,1,0.0,7.195330249240342
122,706,torus,3,0.15,1,0.0,7.200251276719967
122,52,torus,3,0.15,1,0.0,7.194478091916738
122,1422,torus,3,0.15,1,0.0,7.18802829360863
122,1233,torus,3,0.15,1,0.0,7.180440524613228
122,215,torus,3,0.15,1,0.0,7.19702126281099
122,1128,torus,3,0.15,1,0.0,7.189490657349773
122,764,torus,3,0.15,1,0.0,7.19398834184288
123,137,torus,3,0.0,2,0.0,7.187051949007504
123,390,torus,3,0.0,2,0.0,7.183650999585984
123,1250,torus,3,0.0,2,0.0,7.182883114846714
123,1219,torus,3,0.0,2,0.0,7.185008356121569
123,446,torus,3,0.0,2,0.0,7.179619654790189
123,676,torus,3,0.0,2,0.0,7.186152634768775
123,619,torus,3,0.0,2,0.0,7.183871609937155
123,163,torus,3,0.0,2,0.0,7.195777984606012
124,137,torus,3,0.05,2,0.0,7.187128990387354
124,390,torus,3,0.05,2,0.0,7.183262809249588
