kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,rq,point
1.0,90,-0.002048355663037966,4.33440930317867e-06,-0.0026192868484140167,44.32060317451704,-0.010684176542938833,necklace,3,0,0.075,1084
1.0,90,-0.0010404518763299324,4.006842402167384e-06,-0.001480434181344391,44.54797494008782,-0.039596891517998827,necklace,3,0,0.075,368
1.0,90,-0.0015526804318367392,9.829798548170269e-06,0.005522740354523898,44.68619125295117,-0.037720915822735894,necklace,3,0,0.075,1030
1.0,90,0.00019563465212581638,-6.46331807037844e-07,-0.0022100629311527166,44.77956922998921,-0.1316856154938618,necklace,3,0,0.075,935
1.0,90,-0.0007877873495994262,6.615117982278207e-07,-0.0015957558276015877,44.855584484546554,0.060601111779917796,necklace,3,0,0.075,600
1.0,90,-0.00039610263370302523,-3.734127075401735e-06,-0.0003624895683283901,44.87556147410779,0.056286969349611846,necklace,3,0,0.075,855
1.0,120,-0.001312728350215905,-1.2720969748987917e-05,-0.012198444488144946,-111.5462967308825,-0.0882531447159131,necklace,3,0,0.1,281
1.0,120,-0.0006605822843259788,1.973580752986e-05,0.0015925463128739269,-98.87541271215034,-0.08470675220359303,necklace,3,0,0.1,1091
1.0,120,-0.0005863373537508135,-1.942244945910924e-06,-0.012482965862726979,-62.08550438615729,-0.043348686051664836,necklace,3,0,0.1,773
1.0,120,0.00026622348884362156,-1.0006760652695827e-06,-0.005768135852086062,-43.004832492773005,-0.10621999890317908,necklace,3,0,0.1,58
1.0,120,-0.0004229860604259227,-2.3793796222193464e-06,-0.004932856063547084,-30.70483357309919,-0.07817108346694202,necklace,3,0,0.1,691
1.0,120,-0.00015996652257058153,-2.9902688674828446e-06,-0.006428889018924431,-15.012228157171593,-0.04432958326943563,necklace,3,0,0.1,342
1.0,120,-0.004153777692855471,-1.392563786388005e-05,-0.00026901296294347594,-6.5402548612096,-0.23306201368480317,necklace,3,0,0.1,1171
1.0,120,-0.0006596458999036528,-1.0344742126022766e-05,-0.003908712392120352,0.15042779271323647,-0.239065617853119,necklace,3,0,0.1,273
1.0,120,0.0002896451905072113,-1.496139729143901e-06,-0.0038841346060368574,6.0569930097032945,-0.01059553252720339,necklace,3,0,0.1,491
1.0,120,-0.0016619451923006513,1.2827381037657423e-05,-0.003627066163448393,11.364988476916778,-0.08896424107411932,necklace,3,0,0.1,626
1.0,120,-0.001548212795450088,7.878927418936144e-06,0.00014122791203533577,14.689818090935855,-0.13568563054931526,necklace,3,0,0.1,1072
1.0,120,-0.00047605858407882753,-1.6182728321822992e-05,-0.008202394809970304,17.799507480250732,-0.025801263548455366,necklace,3,0,0.1,385
1.0,120,-0.0002176282790209764,-1.2791923440502728e-06,-0.006643938169907302,19.76694501422421,0.08132172950185348,necklace,3,0,0.1,228
1.0,120,-0.00046213062784928043,-7.392744914014315e-06,-0.000900816705612728,22.22512372341265,-0.18906645725207885,necklace,3,0,0.1,1119
1.0,120,-0.0017019523769368585,7.361278606232702e-06,-0.007144601685044805,24.411933528654323,-0.18070350730349896,necklace,3,0,0.1,936
1.0,120,0.00020973267965462844,-3.1192482700485393e-06,-0.0026539563490764716,26.91632392646017,-0.0384441914057202,necklace,3,0,0.1,246
1.0,120,-0.0022546572777129665,-2.041305752283525e-06,0.0026568826086473657,29.0424639181102,-0.2655651190100101,necklace,3,0,0.1,271
1.0,120,0.00043445092186769537,-3.0186417910490113e-06,0.0010074571714172977,30.561787750446936,-0.01964689368936536,necklace,3,0,0.1,12
1.0,120,0.00019909442810986082,-1.991143996734242e-05,-0.007167199316240547,32.14693386328595,0.03340678673649676,necklace,3,0,0.1,463
1.0,120,-0.004388502371006056,2.8175257258548452e-05,0.01006450889359501,33.61004935235025,-0.1699110140267689,necklace,3,0,0.1,664
1.0,120,0.000321581172251684,1.4709354830462946e-06,-0.005307918372154291,34.927219403317814,-0.004548516680935996,necklace,3,0,0.1,649
1.0,120,-0.0025857253962967308,2.4735402819627456e-05,0.0014402604235134002,36.15492285309677,-0.1502019424596917,necklace,3,0,0.1,997
1.0,120,-0.0007698142903715378,-2.2634283322275905e-05,0.0005907431530530502,37.10388573639734,-0.2613612914716249,necklace,3,0,0.1,31
1.0,120,-0.001279293748944412,-4.672852241445942e-07,0.0036236209464031712,37.9969925323541,-0.011593110971374424,necklace,3,0,0.1,371
