readout,dest,m,pool,p,value,ks,kind,dim,seed,dist
lam_d1,est,30,jitter,1078,0.004647094041415254,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,294,0.005155492026635639,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,294,0.007495980581039979,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,294,0.004461023427787626,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,294,0.005155492026635639,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,294,0.007495980581039979,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,294,0.004461023427787626,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,1199,0.006855248719055447,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,1199,0.007858363675759473,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,1199,0.006068683925349113,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,1199,0.006855248719055447,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,1199,0.007858363675759473,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,1199,0.006068683925349113,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,330,0.005135701693111111,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,330,0.006925849247104409,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,330,0.0037396819053765254,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,330,0.00345703582904955,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,330,0.0046038294114192965,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,330,0.0027312572145456807,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,817,0.004665268817339647,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,817,0.00604370465066884,-8.956077783870782,hyperbolic,2,0,exact
