anchor,ks,V,ent0,entw,frac0,fracw,d_ent,d_frac,kind,dim,seed,mode,goal_acc
1155,9.479295147836876,0.21467852692895348,6.366949,4.2173166,0.0,0.4375,-2.1496325,0.4375,dumbbell,3,1,random,0.9
862,9.817485823556025,0.16410216117022228,6.362176,4.2879705,0.0,0.5625,-2.0742054,0.5625,dumbbell,3,1,random,0.9
451,10.282687225740652,0.11446154834421664,6.3251696,4.123649,0.0,0.1875,-2.2015204,0.1875,dumbbell,3,1,random,0.9
63,10.70158306126052,0.19107230907308648,6.291052,3.6330683,0.0,0.5625,-2.6579835,0.5625,dumbbell,3,1,random,0.9
730,11.688996802134785,0.4364893567793816,6.3375196,4.1047664,0.0,0.1875,-2.2327533,0.1875,dumbbell,3,1,random,0.9
420,12.303102055323818,0.33495669453359656,6.66108,4.8060446,0.375,1.0,-1.8550353,0.625,dumbbell,3,1,random,0.9
328,13.168196042602606,0.2602587209580535,6.5971727,4.404562,0.0625,0.5625,-2.1926107,0.5,dumbbell,3,1,random,0.9
236,13.987736289975153,0.21376797408268103,6.2901297,3.7981682,0.0,0.6875,-2.4919615,0.6875,dumbbell,3,1,random,0.9
936,14.743058696547628,0.3683034696052272,6.270735,3.7448468,0.0,0.3125,-2.525888,0.3125,dumbbell,3,1,random,0.9
304,15.649471483080921,0.2981312073743814,6.2451534,3.8622127,0.0,0.1875,-2.3829408,0.1875,dumbbell,3,1,random,0.9
1255,16.670580130392466,0.2516218205870462,6.2832403,3.214323,0.0,0.5,-3.0689173,0.5,dumbbell,3,1,random,0.9
1317,17.68259354168012,0.41529664666394506,6.262806,4.1263366,0.0,0.75,-2.1364694,0.75,dumbbell,3,1,random,0.9
1466,18.770484998828806,0.18185281742031373,6.2617426,3.7819786,0.0,0.0625,-2.479764,0.0625,dumbbell,3,1,random,0.9
475,20.047681029643805,0.21881711580804106,6.170478,3.7769217,0.0,0.0,-2.393556,0.0,dumbbell,3,1,random,0.9
364,21.452717269843408,0.14066851763149252,6.4875803,3.9875166,0.125,0.0625,-2.5000637,-0.0625,dumbbell,3,1,random,0.9
1381,22.450341885123233,0.22708172878766297,6.1377974,3.4375296,0.0,0.1875,-2.7002678,0.1875,dumbbell,3,1,random,0.9
215,23.24833994165201,0.4000853922625469,6.321046,4.004671,0.0,0.625,-2.3163748,0.625,dumbbell,3,1,random,0.9
257,24.134117788674768,0.3030509320925438,6.1925917,4.3369412,0.0,0.5,-1.8556504,0.5,dumbbell,3,1,random,0.9
1123,25.55126465939824,0.19851578899285616,6.3243833,3.7326868,0.0,0.375,-2.5916965,0.375,dumbbell,3,1,random,0.9
1068,26.863457037200046,0.35398678223103813,6.161146,3.9003744,0.0,0.5625,-2.2607718,0.5625,dumbbell,3,1,random,0.9
1135,28.282722773482444,0.2721355706326368,6.2508354,3.9341626,0.0,0.25,-2.3166728,0.25,dumbbell,3,1,random,0.9
159,29.145116165998843,0.3893108832658798,6.6157017,4.411661,0.1875,0.625,-2.2040405,0.4375,dumbbell,3,1,random,0.9
656,30.059747519270065,0.2572340722447985,6.242567,3.793842,0.0,0.3125,-2.448725,0.3125,dumbbell,3,1,random,0.9
1034,31.528142474202845,0.35865296096292204,6.296817,4.071319,0.0,0.6875,-2.2254977,0.6875,dumbbell,3,1,random,0.9
273,32.88698110356113,0.2760282843087174,6.3112373,3.961862,0.0,0.3125,-2.3493752,0.3125,dumbbell,3,1,random,0.9
1276,34.1843108755044,0.2885462251783243,6.188558,3.9669595,0.0,0.25,-2.2215986,0.25,dumbbell,3,1,random,0.9
1383,35.206993937883354,0.3316391413326721,6.3055553,3.61478,0.0,0.25,-2.6907754,0.25,dumbbell,3,1,random,0.9
1192,36.345127268084376,0.0,6.252564,3.3140452,0.0,0.5,-2.9385188,0.5,dumbbell,3,1,random,0.9
1321,37.634705758685435,0.17546350641018602,6.379958,4.0461907,0.0625,0.375,-2.3337674,0.3125,dumbbell,3,1,random,0.9
760,38.54055118037615,0.18807926390573235,6.487177,3.8706965,0.1875,0.3125,-2.6164804,0.125,dumbbell,3,1,random,0.9
