v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name,integ_sign,integ_mag,iso
-65.42312218597436,-0.21955858119692262,1.5686310533268266,3.7371557244730345,1.6530533439440884,0.20412412923193277,-2.9391232169546115,5.0,0.2095574734956552,0.2816698537891909,0.5507017220073164,0,2000,4,175,2.0,4,Sphere,4-Sphere,0.07055782917815556,-0.2474273454513649,-1.0111551417900366
0.43650196147085435,2.3676578794531125,0.8548337648056875,-3.176832692913829,-8.843637078095465,-78.17954149583025,-7.9940974465126144,4.0,0.2812564744498645,0.2295184290550623,0.4267742838778781,0,2000,4,176,0.0,4,Plane,4-Plane,-0.49564543188773247,-1.044519000204362,-0.1389627224724735
-299.414184485718,-7.972359241629164,3.1699291008417,-2.172444492341775,-8.842113863348704,-78.17954149583025,-10.345631470384717,5.0,0.2764463169129004,0.1818584366554798,0.3884440938895739,0,2000,4,177,-16.0,4,Saddle,4-Saddle,-0.47846191881347294,-1.9840321695077943,-1.0111551417900366
-48.6991642886032,0.18288287616925247,4.781208435322299,3.076316490611757,-1.509832333441017,0.20412412923193277,-2.767001214235149,5.0,0.2682598353404463,0.2862865210170376,0.5459749569205739,0,2000,4,178,2.0,4,Sphere,4-Sphere,0.33336617037569516,-0.3718234483378349,-1.0111551417900366
0.4364728275179121,2.3676582829768247,1.4243292383135309,-2.5671879162022164,-8.262460907941026,-78.17954149583025,-9.002119306082058,4.0,0.2747620650557988,0.1980889613897622,0.4244797346175066,0,2000,4,179,0.0,4,Plane,4-Plane,-0.49664967086164047,-0.8174752416598168,-0.1389627224724735
-4.293122337005482,-0.9515685815922778,2.176828936562461,-0.6256080245572124,-6.1528162344503645,-999999999.9999999,-9.277257415952583,6.0,0.2858644046634888,0.2409649577087233,0.4362215510824114,0,2000,5,180,-16.0,5,Saddle,5-Saddle,-0.4930104031418104,-2.096888392629079,-0.8056596505424996
0.8379477696715402,3.0123169270400663,2.2044183435565254,6.1524235893390085,-2.060544418874306,-0.0,-18.020058392538928,6.0,0.2388214791687906,0.3251496600337142,0.5780394324806536,0,2000,5,181,2.0,5,Sphere,5-Sphere,-0.42407835335966093,-0.6304984183065703,-0.1389627224724735
1.8002091402343319,3.761132124408283,-0.3648001963714589,-2.8425192584852352,-5.924869872719219,-999999999.9999999,-24.06388058804935,5.0,0.2737782717980034,0.2828103082657255,0.4770387183943606,0,2000,5,182,0.0,5,Plane,5-Plane,-0.4952900084810579,-1.2271739889076523,-0.03273345968017133
-3.023227284413805,-0.009552077557512934,2.516971534216101,-0.5621082086803656,-6.3923343990350885,-999999999.9999999,-14.300607776063899,6.0,0.2979174235976318,0.2508939619092478,0.4314856148636015,0,2000,5,183,-16.0,5,Saddle,5-Saddle,-0.49494531470694536,-1.2483703727943924,-0.8056596505424996
0.9921157035467975,2.9161126485319793,2.602472207748554,5.769654399220943,-2.779197529580945,-0.0,-21.71725605043468,6.0,0.2534613865269917,0.311147219222073,0.5930658797362581,0,2000,5,184,2.0,5,Sphere,5-Sphere,-0.3932183371288659,-0.5650216230001381,-0.1389627224724735
1.800209586223986,3.761131983988492,0.1986888668808171,-2.9536208350912116,-6.498210903974151,-999999999.9999999,-22.456463707515415,5.0,0.3110379709450378,0.2778210250615424,0.4622893747421698,0,2000,5,185,0.0,5,Plane,5-Plane,-0.49516200453335873,-1.094644369562494,-0.03273345968017133
-2.8148686619129917,0.275380094018192,1.2648958163034343,-0.10489591644223988,-6.202233413458151,-999999999.9999999,-11.661469822680598,6.0,0.2897133064951048,0.2360126894737468,0.4409866180251615,0,2000,5,186,-16.0,5,Saddle,5-Saddle,-0.4954314701614276,-1.466906903815058,-0.6476212154327372
0.9506849732255227,3.1114911406128587,-0.08012524051812149,3.495757084924824,-0.9823815269992632,-0.0,-19.192638734739443,6.0,0.1869169349939623,0.358448473595452,0.5766316107794546,0,2000,5,187,2.0,5,Sphere,5-Sphere,-0.2890662392362852,-1.1405962744339997,-0.1389627224724735
1.800209536985604,3.761132537703186,0.7329968566855326,-2.7558898756657566,-6.680968288534284,-999999999.9999999,-23.148469464768983,5.0,0.3125755355930767,0.2746894130030972,0.4544029687105345,0,2000,5,188,0.0,5,Plane,5-Plane,-0.49530536292727184,-1.208438577826874,-0.03273345968017133
