instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
470,438,necklace,tier2,5,0.15,0,warped(d=5),111.14163903692776,0.2538120660948725,0.0,3.4634552001953125,4.786607265472412
470,457,necklace,tier2,5,0.15,0,warped(d=5),111.80869492784956,0.7869083696993395,0.0,2.832857608795166,3.951223850250244
470,876,necklace,tier2,5,0.15,0,warped(d=5),112.4375938906739,0.617933313738747,0.0,3.47312068939209,4.527411460876465
470,1065,necklace,tier2,5,0.15,0,warped(d=5),112.76046666303576,0.4962378680940907,0.0,3.1837158203125,4.247204303741455
470,446,necklace,tier2,5,0.15,0,warped(d=5),112.89836016552852,0.5786392645700111,0.0,3.436169147491455,4.66015625
471,518,necklace,tier2,5,0.0,1,warped(d=5),-58.11123489155691,0.4489738728549702,0.0,3.672020196914673,4.826491355895996
471,1005,necklace,tier2,5,0.0,1,warped(d=5),-12.947950372502326,0.6389789817953985,0.0,3.432738780975342,4.447757720947266
471,1422,necklace,tier2,5,0.0,1,warped(d=5),18.324373716840533,0.3941422275831927,0.0,3.744002103805542,4.688636302947998
471,724,necklace,tier2,5,0.0,1,warped(d=5),33.636659929007315,0.2910125740247732,0.0625,2.9813551902771,4.174510955810547
471,1175,necklace,tier2,5,0.0,1,warped(d=5),46.85156172902728,0.5446639411123729,0.0,3.606279850006104,4.609312534332275
471,484,necklace,tier2,5,0.0,1,warped(d=5),57.12167344436498,0.7612362286935409,0.0,3.6390347480773926,4.732883453369141
471,1130,necklace,tier2,5,0.0,1,warped(d=5),65.72138968604428,0.9219799306390962,0.0,3.2166495323181152,4.425414562225342
471,1059,necklace,tier2,5,0.0,1,warped(d=5),72.22302519944178,0.9243018874677708,0.0625,3.008894443511963,4.154717922210693
471,1452,necklace,tier2,5,0.0,1,warped(d=5),78.31667089553086,0.8651912994089378,0.0,2.981130838394165,4.101733207702637
471,1416,necklace,tier2,5,0.0,1,warped(d=5),83.78154867610559,0.2378379234886835,0.0,3.481501579284668,4.507698059082031
471,559,necklace,tier2,5,0.0,1,warped(d=5),88.69648625624865,0.9295575896103074,0.0,3.172733783721924,4.28280782699585
471,1420,necklace,tier2,5,0.0,1,warped(d=5),93.06377988979789,0.2586417625551873,0.0,3.400930643081665,4.485373973846436
471,1317,necklace,tier2,5,0.0,1,warped(d=5),96.49011908285406,0.6948093607760762,0.0,3.3246641159057617,4.304344177246094
471,218,necklace,tier2,5,0.0,1,warped(d=5),99.08641600117606,0.7994522186194518,0.0,3.304328441619873,4.277789115905762
471,1366,necklace,tier2,5,0.0,1,warped(d=5),101.9598460693608,0.8598892195696481,0.0,2.914029598236084,3.966115474700928
471,1356,necklace,tier2,5,0.0,1,warped(d=5),104.42379562959448,0.7912854293170303,0.0,2.7859086990356445,3.7848613262176514
