v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,manifold,family
9.832579863238218,9.169868459382077,0.4344171566634994,9.072651955357443,-1.8551508045254657,-0.0,-2.385014220796626,4.0,0.2284489224767247,0.2697862909415444,0.5850569321024613,1083,1400,4,29.92463882301232,1,bumpy_cap
9.462619903929394,8.646030156671939,1.484330620524972,7.125778684983321,-3.958900367330328,-0.0,-2.992050677431429,4.0,0.2563356945332053,0.2808278860747302,0.5568126679226323,1101,1400,4,30.406656068183512,1,bumpy_cap
9.73585946823787,8.734117312347127,1.6903832658988187,7.567111067004798,-2.7692080382673416,-0.0,-3.0674364321867147,4.0,0.2333704196508125,0.283840837138253,0.5643370957399285,1240,1400,4,31.02717131556679,1,bumpy_cap
9.05500557528871,8.613741208543713,2.187871497945208,7.920321074626829,-1.464494716498422,-0.0,-2.503646242159752,4.0,0.1840874886010251,0.2789688163147176,0.5669525520113184,1029,1400,4,31.492035843017813,1,bumpy_cap
9.375221702505788,8.849067255948933,1.2765704411818732,8.489188423729923,-1.8512501924551097,-0.0,-2.994146866502035,4.0,0.2320819882928453,0.2522435291045687,0.5783137054248623,1380,1400,4,32.101475078928274,1,bumpy_cap
8.758675697174805,8.393190419195205,2.763802673631599,8.95611361846123,-2.8539221035019118,-0.0,-3.0180166003754265,4.0,0.2252934026409404,0.2395897646825179,0.5354785878152932,329,1400,4,32.603304441165534,1,bumpy_cap
8.392306483854865,8.441788034237858,1.4004707681181392,5.724434205172327,-2.697703719605016,-0.0,-3.464856320470904,4.0,0.20752454506724,0.2894422446929786,0.532982118219059,491,1400,4,33.07347714085336,1,bumpy_cap
9.579390385894603,8.582938213447177,2.688622036154461,9.926260340010865,-2.0522747867219606,-0.0,-3.0161866049182104,4.0,0.2095893039362622,0.2633718303275345,0.5589443725374866,346,1400,4,33.61382592742817,1,bumpy_cap
9.981937114873269,8.710002131314337,2.20131523810969,5.779685453449475,-3.329119063563489,-0.0,-2.4067505382508214,4.0,0.2386595827479681,0.3254102363382951,0.5672419076577773,57,1400,4,33.962640761590265,1,bumpy_cap
9.26642544042485,8.617068661717155,0.7650926967593155,7.510368573426311,-1.902330891256772,-0.0,-2.1391310796204954,4.0,0.207070010258645,0.2895418341375519,0.5660708651119029,945,1400,4,34.298200951768045,1,bumpy_cap
9.270897270294489,8.701047305132992,1.598326994425203,9.270348463490752,-2.6937861647216126,-0.0,-2.7092726189810508,4.0,0.2364037262178249,0.2520020075474363,0.5746548017365596,62,1400,4,34.72994942069879,1,bumpy_cap
9.39133155198955,8.668655698372412,2.336126272624344,5.8867438344766025,-4.3513900442360045,-0.0,-3.735068121381207,4.0,0.2552765290668333,0.3013965175487392,0.5425234863648708,746,1400,4,35.053093391495096,1,bumpy_cap
8.698886856644874,8.06700386756921,0.4459857284212511,5.970739451056925,-3.464893119717109,-0.0,-2.540953703196577,4.0,0.249462923219448,0.2636512977950763,0.5488633132776042,266,1400,4,35.46946574620385,1,bumpy_cap
9.325683826537484,8.499831502949839,0.4288633500528658,5.091964461693904,-1.96143495330354,-0.0,-3.4786627933848377,4.0,0.2083441748960161,0.2869629824277955,0.5592104247847387,939,1400,4,35.732636771292846,1,bumpy_cap
9.893057440811727,8.97576680010283,1.8605826851805565,6.000162613623226,-3.1426577583778528,-0.0,-3.159620382256627,4.0,0.2379378159917066,0.310013122857437,0.5668216751490669,1086,1400,4,35.941228365605724,1,bumpy_cap
9.772367761073248,9.06250306822495,0.6293330503398579,6.740584815011678,-2.5493053851966625,-0.0,-2.6958883686650554,4.0,0.2317965172300428,0.3126115850056449,0.5714353571325538,462,1400,4,36.15813248061381,1,bumpy_cap
8.672325186861528,8.540824305309108,2.1267195950815787,5.884709676840148,-3.156419087641513,-0.0,-4.577817726069024,4.0,0.230201596760126,0.2797650942120523,0.5289267163062684,546,1400,4,36.28132197010324,1,bumpy_cap
