v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,branch,estimator,rep,n_bucket
-0.06521022593405415,-0.0762464511503699,-0.026516708424263926,-7.149698710178245,-5.806262016296387,-1.0,0.23922196219895914,3.0,0.2866646686646227,0.2141671522859525,0.5122560049616013,397,1400,5,B,plain,1,1400
0.0517078970273477,0.04187817629102788,0.04403980342411991,-7.114806089981289,-4.864588737487793,-0.0,0.38919437095494247,3.0,0.2555513774314867,0.25415127899038625,0.6028828657802183,859,1400,5,B,plain,1,1400
0.028731096225802357,0.009601574818532976,0.04267476324888507,-7.093686227074765,-4.5724029541015625,-0.0,0.40922574448610294,4.0,0.23975947337015174,0.22443786238748595,0.618750341821874,1361,1400,5,B,plain,1,1400
-0.07937002610610538,-0.06920027044143821,-0.00884277570318399,-7.105661050047328,-5.421665191650391,-0.875,0.28081894676894237,2.0,0.22777011326227597,0.16868771198189142,0.43822501058906577,1109,1400,3,C05,plain,0,1400
-0.04811083530934867,-0.04985667374486064,0.04792659159646792,-6.950356364050009,-4.783027648925781,-0.0,0.2727256498435812,3.0,0.21985568745433368,0.15900114893646178,0.5231481561601853,358,1400,3,C05,plain,0,1400
-0.1014343334608693,-0.08462452338501077,0.02967041790050573,-7.035589485247006,-5.397316932678223,-0.125,0.0039848817508682105,2.0,0.24583599418261382,0.16791856310474626,0.4205267589978133,25,1400,3,C05,plain,0,1400
-0.0559656036428005,-0.08422303371725806,-0.0042705068177686396,-7.114227598728895,-5.533440589904785,-1.0,-0.049164258941085726,3.0,0.23396651021645354,0.16642525276359724,0.44746258018358803,1026,1400,3,C05,plain,1,1400
-0.1143162588343677,-0.1119997059828985,-0.0073785216691884346,-7.088610601949633,-5.550843715667725,-0.4375,-0.022659530771632436,3.0,0.2349334448659397,0.15620185805134906,0.42549360969293093,363,1400,3,C05,plain,1,1400
-0.0556860547816003,-0.053924084688543816,0.041969033585748355,-6.926646960776122,-4.770381450653076,-0.0,0.0836851959722798,3.0,0.22928989956730988,0.18282151547103664,0.5039482876460065,459,1400,3,C05,plain,1,1400
-0.1392650694683012,-0.15377894688434038,-0.014042265977120189,-7.136496363029586,-5.621788501739502,-0.25,0.13978931064513894,3.0,0.24536245990408434,0.18169372098891926,0.47092298207212213,94,1400,4,C05,plain,0,1400
-0.09391263620948681,-0.08197889354371046,0.03563089844456736,-7.091189137845328,-4.824381351470947,-0.0,0.2951796584351884,4.0,0.2379054335579785,0.20952393538639152,0.5609441503099891,74,1400,4,C05,plain,0,1400
-0.08695216006151205,-0.09860427200277024,0.01884541973627607,-7.117808243481022,-5.001684665679932,-0.125,0.27907275626746286,2.0,0.24112386561175783,0.2367619884276999,0.5497459783132692,171,1400,4,C05,plain,0,1400
-0.0557616701885699,-0.10432126778356063,0.021267562720491746,-7.144109389988827,-5.643555641174316,-0.875,0.10219070363906459,5.0,0.2709164661787291,0.19904542015320253,0.488398223720453,868,1400,4,C05,plain,1,1400
-0.034431320749316506,-0.030404129643251288,0.07983609973598599,-7.057201017195041,-4.20632266998291,-0.0,0.43727949833784796,4.0,0.24854091847524584,0.2643074357667961,0.7309373219662095,891,1400,4,C05,plain,1,1400
-0.1273021950689444,-0.11770007353575028,0.0399400390523855,-7.123796148719153,-5.289943218231201,-0.125,0.23303683902390943,4.0,0.24822434593193032,0.1731512646958073,0.48290144764333925,993,1400,4,C05,plain,1,1400
-0.03068948809533299,-0.07657110482614748,0.038337376311166585,-7.15307878871709,-5.972256183624268,-1.0,0.27348423255788795,6.0,0.3093561032197193,0.22042830448197032,0.5079296363356355,1008,1400,5,C05,plain,0,1400
0.03594660829769208,-0.007216185022622669,0.016772643626379112,-7.128317463198452,-4.678150653839111,-0.0,0.41050051251974484,1.0,0.2527975943980188,0.30145912212154724,0.6709355194855849,663,1400,5,C05,plain,0,1400
-0.06650228759694987,-0.0666237946593594,-0.01978188763708262,-7.135178052405195,-5.028041839599609,-0.0,0.37059218747963585,2.0,0.2775228329191353,0.2628043655574469,0.6123200461502625,938,1400,5,C05,plain,0,1400
-0.08939112927761768,-0.14605569531121873,-0.000591482616467227,-7.153179158978392,-5.9651079177856445,-1.0,0.32712442172017725,6.0,0.29278876989375013,0.20589378854580492,0.4588516518016648,667,1400,5,C05,plain,1,1400
-0.0013818468300046058,-0.040887414988834164,0.03939106612249146,-7.130326729088319,-4.611056327819824,-0.0625,0.4426776089435181,1.0,0.24074799754832016,0.2675483900652768,0.6406943594312413,859,1400,5,C05,plain,1,1400
-0.0013009196490735768,-0.021197279293062345,0.017404916726926508,-7.126571819644182,-4.348508834838867,-0.0,0.462404880949952,4.0,0.2352991451319592,0.2776757090354088,0.6586721274627463,1361,1400,5,C05,plain,1,1400
-4.5426405154648,-1.3517971686322177,0.03674545368375878,-7.153694628337924,-6.343602180480957,-1.0,0.2300370941145349,2.0,0.32068835415404234,0.23513673391279422,0.46949133140968746,1086,1400,3,D,plain,0,1400
-0.9524253398622943,-0.9119241261772597,0.1038225595034262,-7.0717278775231245,-4.892727851867676,-0.0,0.5224411147608351,3.0,0.2635550898553364,0.27328387438408214,0.5391457866640881,358,1400,3,D,plain,0,1400
-0.49875159221306653,-0.629193098124467,0.05924363032180832,-7.13854862758256,-4.805591583251953,-0.5,0.33289366532226805,2.0,0.21727058856864445,0.27454480724167124,0.5426128307324692,25,1400,3,D,plain,0,1400
-1.0114116546749812,-0.9778493865836065,0.08158940243031262,-7.152466484606385,-5.990914344787598,-1.0,0.18718597951247418,1.0,0.31237630710149916,0.24578815928854733,0.49474221713810584,1001,1400,3,D,plain,1,1400
-0.6309871611216646,-0.8087344787076554,0.057919691947064436,-7.143995872708625,-5.059781074523926,-1.0,0.4210288046301707,1.0,0.24885981427189924,0.268843553438954,0.5320766895237794,363,1400,3,D,plain,1,1400
-0.6074948974334142,-0.7525951692397419,0.10202577378136622,-7.120894819322828,-4.387884140014648,-0.125,0.304450868707586,2.0,0.1985813324419105,0.2900225436851279,0.552318633541393,459,1400,3,D,plain,1,1400
-0.36880354712340596,-0.37374072743518694,-0.009832519106853484,-7.154097436106367,-6.063709259033203,-1.0,0.29148468249662207,2.0,0.3115046312989036,0.2557597326052586,0.5115873922823483,1360,1400,4,D,plain,0,1400
-0.49810657930086366,-0.5345336751375205,0.07740918093322846,-7.141993073976064,-5.135054111480713,-0.5625,0.1412185998485008,1.0,0.27580653784508113,0.2701688426221363,0.5397931480694714,74,1400,4,D,plain,0,1400
-0.22600240445470476,-0.2997927642829647,0.07708675167141993,-7.145965255545876,-5.271129131317139,-0.4375,0.36869962618638713,2.0,0.24486401755893947,0.28057390655784026,0.5380161067219242,171,1400,4,D,plain,0,1400
-1.3445219182985237,-0.6206525147417945,0.05061237180178113,-7.155337282203256,-6.257160663604736,-1.0,0.36819943178813397,1.0,0.33470728632665164,0.25082835664964204,0.4987114355963842,1279,1400,4,D,plain,1,1400
-0.37767728039364534,-0.4972591851402067,0.07238360713156858,-7.092038540311916,-4.502424716949463,-0.0,0.7145650836057768,1.0,0.23463590708443222,0.2760429922606837,0.7441922917826764,891,1400,4,D,plain,1,1400
